cruise,lon,lat
EN674,-71.3926,41.5793
EN674,-71.3947,41.5431
EN674,-71.4131,41.5037
EN674,-71.409,41.4582
EN674,-71.4124,41.4117
EN674,-71.4152,41.3658
EN674,-71.4162,41.3205
EN674,-71.3729,41.3265
EN674,-71.3214,41.3462
EN674,-71.3266,41.3423
EN674,-71.3313,41.3388
EN674,-71.3575,41.373
EN674,-71.3856,41.41
EN674,-71.4083,41.4488
EN674,-71.409,41.4918
EN674,-71.3968,41.5331
EN674,-71.3908,41.576
EN674,-71.4048,41.5844
EN675,-71.4094,41.5855
EN675,-71.3906,41.5774
EN675,-71.3942,41.5506
EN675,-71.3977,41.5285
EN675,-71.4093,41.5101
EN675,-71.4108,41.49
EN675,-71.4094,41.468
EN675,-71.4111,41.4416
EN675,-71.4142,41.4173
EN675,-71.4131,41.3754
EN675,-71.3666,41.3481
EN675,-71.3191,41.3212
EN675,-71.2707,41.2955
EN675,-71.2234,41.2698
EN675,-71.1785,41.2441
EN675,-71.1369,41.2203
EN675,-71.0126,41.1487
EN675,-70.9705,41.1252
EN675,-70.9288,41.1025
EN675,-70.8875,41.08
EN675,-70.8475,41.0572
EN675,-70.8071,41.0344
EN675,-70.7668,41.0123
EN675,-70.726,40.9899
EN675,-70.6863,40.9676
EN675,-70.6468,40.9452
EN675,-70.6085,40.9223
EN675,-70.5667,40.8974
EN675,-70.5192,40.8663
EN675,-70.4689,40.834
EN675,-70.4158,40.8021
EN675,-70.3617,40.7703
EN675,-70.3116,40.7399
EN675,-70.2642,40.7102
EN675,-70.2165,40.6811
EN675,-70.1714,40.6501
EN675,-70.1287,40.617
EN675,-70.0857,40.5837
EN675,-70.0404,40.5517
EN675,-69.9936,40.5204
EN675,-69.9458,40.4897
EN675,-69.8985,40.4589
EN675,-69.8507,40.4283
EN675,-69.8027,40.3981
EN675,-69.7547,40.3678
EN675,-69.7061,40.3379
EN675,-69.6573,40.3084
EN675,-69.6086,40.2786
EN675,-69.5615,40.248
EN675,-69.512,40.2198
EN675,-69.4622,40.1915
EN675,-69.4141,40.1618
EN675,-69.369,40.1285
EN675,-69.326,40.0924
EN675,-69.2847,40.0556
EN675,-69.2447,40.0189
EN675,-69.2014,39.9824
EN675,-69.16,39.9485
EN675,-69.1201,39.9155
EN675,-69.0816,39.8831
EN675,-69.0431,39.8495
EN675,-69.0059,39.8159
EN675,-69.0059,39.8159
EN675,-68.9701,39.7813
EN675,-68.9352,39.7475
EN675,-68.901,39.7154
EN675,-68.8678,39.6855
EN675,-68.8362,39.6554
EN675,-68.804,39.6258
EN675,-68.7709,39.5952
EN675,-68.7709,39.5952
EN675,-68.7384,39.5647
EN675,-68.7059,39.5345
EN675,-68.671,39.5071
EN675,-68.643,39.4853
EN675,-68.6263,39.4743
EN675,-68.6174,39.4654
EN675,-68.6143,39.4496
EN675,-68.6045,39.4147
EN675,-68.6011,39.3803
EN675,-68.6038,39.3638
EN675,-68.6082,39.3575
EN675,-68.6145,39.3467
EN675,-68.6164,39.3459
EN675,-68.6211,39.3369
EN675,-68.6298,39.3202
EN675,-68.63,39.2939
EN675,-68.623,39.2642
EN675,-68.6181,39.2352
EN675,-68.614,39.2074
EN675,-68.6091,39.1816
EN675,-68.6018,39.1551
EN675,-68.5928,39.1276
EN675,-68.5825,39.0957
